سال,1394,1395,1396,1397,1398,1399,1400,1401,1402,1403
انواع برنج,116,106,106,97,94,98,100,99,100,104
انواع نان,328,311,298,299,297,301,307,315,326,317
گوشت دام,40,41,37,32,28,35,38,39,32,32
گوشت پرندگان,90,86,90,88,96,98,97,95,107,115
فرآورده های گوشت دام و پرندگان,2,2,2,1,2,2,3,3,4,4
انواع ماهی,11,11,12,9,7,9,9,8,8,8
حیوانات دریایی و فرآورده های آن,2,1,1,1,1,1,1,1,1,1
انواع شیر,131,120,126,128,121,123,113,105,108,105
انواع ماست,79,80,86,83,78,77,78,73,75,74
انواع پنیر,22,23,24,25,25,25,27,30,31,32
تخم مرغ,36,37,36,37,40,42,43,45,49,52
روغنهای نباتی,36,34,33,31,29,29,31,31,33,34
انواع قند,18,16,15,15,14,14,14,15,14,14
شکر,10,9,8,8,8,8,8,8,8,8
انواع چای,4,3,3,3,3,3,3,3,3,3
انواع سیگار ایرانی,342,383,365,309,291,347,391,421,368,374
انواع سیگار خارجی,526,529,538,481,527,446,472,571,677,665
