سال,آب لوله کشی,برق,گاز شهری,سیستم فاضلاب شهری,آشپزخانه,حمام,کولر ثابت (آبی یا گازی),شوفاژ یا پکیج (شوفاژ دیواری,انباری,تلفن,اینترنت,عضویت در شبکه های اجتماعی
1393,995,100,928,435,982,995,796,136,406,808,284,-
1394,996,100,938,465,986,996,805,134,411,786,379,-
1395,994,100,944,517,989,997,809,194,44,771,505,-
1396,994,100,945,533,992,996,826,193,45,749,641,616
1397,995,100,952,56,992,998,846,203,461,727,676,666
1398,996,100,951,564,993,998,851,196,445,708,717,707
1399,996,100,955,59,994,998,834,213,447,711,792,785
1400,995,100,956,634,993,999,851,221,438,689,829,826
1401,995,100,958,654,994,999,848,24,443,641,857,855
1402,996,100,967,661,994,999,848,245,441,614,87,868
